datetime,ACRES_FTR_GEOM
2014-01-01,25360.834655207
2015-01-01,19922.516165802
2016-01-01,16490.252891034004
2017-01-01,14563.19551641
2018-01-01,14066.037059351
2019-01-01,13495.135237510998
2020-01-01,13420.82730234
2021-01-01,13759.923317120001
2022-01-01,13750.083126247
