datetime,PPT
2014-01-01,4.477531148109628
2014-02-01,8.34347355869145
2014-03-01,7.387046128041341
2014-04-01,2.5148108293148974
2014-05-01,1.8754163350341833
2014-06-01,0.778180678077675
2014-07-01,0.6172082591202038
2014-08-01,0.8483956394308492
2014-09-01,0.4687673275442205
2014-10-01,5.131159055420264
2014-11-01,5.689856861545538
2014-12-01,7.2953507813670875
2015-01-01,4.306088770729898
2015-02-01,3.782813962035711
2015-03-01,3.0276833055234555
2015-04-01,1.2295038575836483
2015-05-01,1.291579027439648
2015-06-01,0.18797913699926525
2015-07-01,0.0
2015-08-01,0.4885257256072228
2015-09-01,0.9343639907531737
2015-10-01,4.025592664173028
2015-11-01,5.116356650221121
2015-12-01,14.927489016969878
2016-01-01,7.817350861016651
2016-02-01,4.711730720424483
2016-03-01,5.6810953283276575
2016-04-01,0.7946760084886497
2016-05-01,0.8304468436417848
2016-06-01,1.0248454235915523
2016-07-01,0.19068038466559256
2016-08-01,0.0
2016-09-01,0.4817646032060753
2016-10-01,8.842664613964262
2016-11-01,3.514119900739059
2016-12-01,7.523281266237407
2017-01-01,4.060763349244355
2017-02-01,7.771590557166903
2017-03-01,8.184715584471197
2017-04-01,3.917433514432613
2017-05-01,1.079971292617811
2017-06-01,0.9208629198055862
2017-07-01,0.0
2017-08-01,0.03247942571718724
2017-09-01,2.8822034441840665
2017-10-01,6.485336607563436
2017-11-01,8.584598350535282
2017-12-01,4.860647298128155
2018-01-01,6.643881934057451
2018-02-01,4.379621063229711
2018-03-01,2.0579899643308934
2018-04-01,4.100747165512354
2018-05-01,0.15966484500866282
2018-06-01,0.4791016725941853
2018-07-01,0.0029767619595089
2018-08-01,0.030568224962939722
2018-09-01,0.3868290159167254
2018-10-01,2.819251856067651
2018-11-01,3.7101353630693183
2018-12-01,8.565414414180015
2019-01-01,3.92941607092684
2019-02-01,5.6770874764451715
2019-03-01,1.1787913205541072
2019-04-01,4.4432756259233015
2019-05-01,0.9086149787492985
2019-06-01,0.4641029462241627
2019-07-01,0.09098486004605662
2019-08-01,0.7484890979804973
2019-09-01,2.543224788883359
2019-10-01,2.6275630244433943
2019-11-01,1.4658882475129633
2019-12-01,5.179329770510851
2020-01-01,10.66129062742462
2020-02-01,3.1958964230074898
2020-03-01,2.8718621026598807
2020-04-01,0.8436457232091416
2020-05-01,1.9068535172268102
2020-06-01,1.7040574946130211
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,1.2695539084213558
2020-10-01,3.340930850777799
2020-11-01,7.3956812816401
2020-12-01,6.952959185135396
2021-01-01,6.687202345208374
2021-02-01,6.986193767044364
2021-03-01,0.652414333405992
2021-04-01,0.48479267280967925
2021-05-01,0.6009598887747264
2021-06-01,0.8880442389187633
2021-07-01,0.0
2021-08-01,0.025770124155943878
2021-09-01,1.5324969985116188
2021-10-01,2.7448096621183025
2021-11-01,7.956764655367774
2021-12-01,7.725598737564817
2022-01-01,6.418791962358365
2022-02-01,2.2370404460533897
2022-03-01,2.2550778197522567
2022-04-01,5.544851939696563
2022-05-01,4.32812092370847
2022-06-01,2.376839749097369
2022-07-01,0.18271781694065678
2022-08-01,0.0605721225513731
2022-09-01,0.36967949615229495
2022-10-01,1.9604528950835414
2022-11-01,5.877284437059912
2022-12-01,7.269005939389647
