datetime,OBM
2024-04-16,48.03
2024-04-17,47.26
2024-04-18,56.0
2024-04-19,58.91
2024-04-20,51.77
2024-04-21,46.4
2024-04-22,52.93
2024-04-23,59.88
2024-04-24,49.85
2024-04-25,52.78
2024-04-26,52.37
2024-04-27,50.02
2024-04-28,51.5
2024-04-29,48.52
2024-04-30,47.95
2024-05-01,44.79
2024-05-02,51.42
2024-05-03,48.79
2024-05-04,48.53
2024-05-05,49.47
2024-05-06,49.61
2024-05-07,48.18
2024-05-08,50.18
2024-05-09,62.26
2024-05-10,69.09
2024-05-11,67.28
2024-05-12,61.72
2024-05-13,59.42
2024-05-14,60.7
2024-05-15,63.44
2024-05-16,59.46
2024-05-17,53.44
2024-05-18,51.78
2024-05-19,49.32
2024-05-20,50.26
2024-05-21,49.57
2024-05-22,53.74
2024-05-23,52.48
2024-05-24,56.23
2024-05-25,53.05
2024-05-26,54.24
2024-05-27,57.38
2024-05-28,56.12
2024-05-29,56.95
2024-05-30,54.74
2024-05-31,59.44
2024-06-01,60.88
2024-06-02,58.06
2024-06-03,57.88
2024-06-04,60.13
2024-06-05,61.97
2024-06-06,64.71
2024-06-07,67.4
2024-06-08,64.24
2024-06-09,63.12
2024-06-10,62.41
2024-06-11,58.42
2024-06-12,60.71
2024-06-13,59.92
2024-06-14,53.96
2024-06-15,54.77
2024-06-16,52.07
2024-06-17,50.56
2024-06-18,56.42
2024-06-19,64.54
2024-06-20,67.01
2024-06-21,68.81
2024-06-22,65.72
2024-06-23,62.73
2024-06-24,61.96
2024-06-25,68.64
2024-06-26,60.74
2024-06-27,61.54
2024-06-28,65.76
2024-06-29,66.44
2024-06-30,70.38
2024-07-01,68.41
2024-07-02,63.82
2024-07-03,65.89
2024-07-04,72.65
2024-07-05,78.84
2024-07-06,78.35
2024-07-07,78.76
2024-07-08,80.81
2024-07-09,82.74
2024-07-10,74.72
2024-07-11,71.7
2024-07-12,69.44
2024-07-13,72.66
2024-07-14,73.6
2024-07-15,71.4
2024-07-16,77.94
2024-07-17,70.78
