id,type,prop_siteid,prop_title,prop_state,latitude,longitude,geometry_type,geometry_coordinates_raw,prop_description,prop_elevation,prop_elevationUnits,prop_install,prop_program,prop_responsibility,prop_type,prop_url,Nearest_City_1,Distance_City_1_mi,Nearest_City_2,Distance_City_2_mi,county_name,county_state,county_fips
187,Feature,pcyo,"Prairie City, Oregon AgriMet Weather Station",OR,44.441225,-118.628088,Point,"[-118.628088, 44.441225]","Prairie City, Oregon AgriMet Weather Station",1143.61,m,4/12/1989,agrimet,pnro,agrimet,pcyoda.html,"Prairie City, OR",3.49,"Bates, OR",12.07,Grant,OR,41023
191,Feature,pmai,"Parma, Idaho AgriMet Weather Station",ID,43.802227,-116.944218,Point,"[-116.944218, 43.802227]","Parma, Idaho AgriMet Weather Station",702.56,m,3/28/1986,agrimet,pnro,agrimet,pmaida.html,"Parma, ID",0.9,"Nyssa, OR",5.7,Canyon,ID,16027
192,Feature,pngo,"Pine Grove, Oregon AgriMet Weather Station",OR,45.658786,-121.509138,Point,"[-121.509138, 45.658786]","Pine Grove, Oregon AgriMet Weather Station",188.98,m,10/20/1989,agrimet,pnro,agrimet,pngoda.html,"Hood River, OR",1.68,"Odell, OR",4.15,Hood River,OR,41027
193,Feature,pnpo,"Pine Nursery Park, Oregon AgriMet Weather Station",OR,44.0923427,-121.268505,Point,"[-121.268505, 44.0923427]","Pine Nursery Park, Oregon AgriMet Weather Station",1056.0,,2026-01-07,agrimet,pnro,agrimet,pnpoda.html,"Bend, OR",1.25,"Redmond, OR",13.35,Deschutes,OR,41017
194,Feature,pobo,"Powell Butte, Oregon AgriMet Weather Station",OR,44.24833,-120.94972,Point,"[-120.94972, 44.24833]","Powell Butte, Oregon AgriMet Weather Station",3200.0,ft,9/21/1993,agrimet,pnro,agrimet,poboda.html,"Powell Butte, OR",3.08,"Prineville, OR",6.93,Crook,OR,41013
195,Feature,prno,"Prineville, Oregon AgriMet Weather Station",OR,44.36668,-120.917083,Point,"[-120.917083, 44.36668]","Prineville, Oregon AgriMet Weather Station",2927.0,,4/18/24,agrimet,pnro,agrimet,prnoda.html,"Prineville, OR",5.96,"Powell Butte, OR",9.84,Crook,OR,41013
197,Feature,pslo,"Paisley, Oregon AgriMet Weather Station",OR,42.612799,-120.4552113,Point,"[-120.4552113, 42.612799]","Paisley, Oregon AgriMet Weather Station",4330.0,,3/19/2024,agrimet,pnro,agrimet,psloda.html,"Paisley, OR",8.0,"Plush, OR",29.42,Lake,OR,41037
199,Feature,ptro,"Pilot Rock, Oregon AgriMet Weather Station",OR,45.5345085,-118.7788682,Point,"[-118.7788682, 45.5345085]","Pilot Rock, Oregon AgriMet Weather Station",1604.0,,4/4/2024,agrimet,pnro,agrimet,ptroda.html,"Pilot Rock, OR",8.43,"Pendleton, OR",8.7,Umatilla,OR,41059
200,Feature,pvan,"DRI - Paradise Valley, Nevada Weather Station",NV,41.185556,-117.660278,Point,"[-117.660278, 41.185556]","DRI - Paradise Valley, Nevada Weather Station",1341.12,m,11/10/2010,agrimet,dri,agrimet,pvanda.html,"Winnemucca, NV",15.89,"Golconda, NV",22.64,Humboldt,NV,32013
201,Feature,pvto,"Provolt, Oregon Weather Station",OR,42.489188,-122.7525659,Point,"[-122.7525659, 42.489188]","Provolt, Oregon Weather Station",1492.0,,3/13/2023,agrimet,pnro,agrimet,pvtoda.html,"Eagle Point, OR",2.87,"White City, OR",5.58,Jackson,OR,41029
208,Feature,rilo,"Riley, Oregon AgriMet Weather Station",OR,43.4900688,-119.4380141,Point,"[-119.4380141, 43.4900688]","Riley, Oregon AgriMet Weather Station",4183.0,,3/21/2024,agrimet,pnro,agrimet,riloda.html,"Hines, OR",18.62,"Burns, OR",19.46,Harney,OR,41025
212,Feature,roso,"Roseburg, OR AgriMet Weather Station",OR,43.27079,-123.43923,Point,"[-123.43923, 43.27079]","Roseburg, OR AgriMet Weather Station",153.6,,7/26/2016,agrimet,pnro,agrimet,rosoda.html,"Winchester, OR",4.4,"Roseburg, OR",4.95,Douglas,OR,41019
217,Feature,rufo,"Rufus, Oregon AgriMet Weather Station",OR,45.6741119,-120.7560935,Point,"[-120.7560935, 45.6741119]","Rufus, Oregon AgriMet Weather Station",909.0,,4/5/2024,agrimet,pnro,agrimet,rufoda.html,"Rufus, OR",1.61,"Wasco, OR",5.44,Sherman,OR,41055
