datetime,AW
2017-01-01,0.003627923659671904
2017-02-01,0.04009658685901169
2017-03-01,0.5265231320863719
2017-04-01,2.01613325747729
2017-05-01,22.829908976050415
2017-06-01,42.14689657641999
2017-07-01,53.30951914236621
2017-08-01,37.13222453790851
2017-09-01,18.936987524717033
2017-10-01,4.369003142102683
2017-11-01,0.07752680555349493
2017-12-01,0.10617670203215139
2018-01-01,0.2171159568336543
2018-02-01,0.724172942529262
2018-03-01,4.240085487363743
2018-04-01,13.116982384215952
2018-05-01,24.080148330134282
2018-06-01,36.664629413365674
2018-07-01,41.4247228102222
2018-08-01,29.882467376525142
2018-09-01,17.72996339982051
2018-10-01,2.1261312973494007
2018-11-01,0.24304332687341737
2018-12-01,0.035978958645545414
2019-01-01,0.19872835169557598
2019-02-01,0.2311915053675187
2019-03-01,1.6504017709505134
2019-04-01,7.462783100893669
2019-05-01,10.960202749554805
2019-06-01,45.613549441354635
2019-07-01,55.75825555506177
2019-08-01,36.84722410987076
2019-09-01,9.982045661532169
2019-10-01,7.037264268049573
2019-11-01,0.3371133427029824
2019-12-01,0.013279805836874433
2020-01-01,0.013530146340479839
2020-02-01,0.1486339879912613
2020-03-01,0.9430045272093198
2020-04-01,7.924271394677561
2020-05-01,19.677954660725312
2020-06-01,32.46151982441708
2020-07-01,43.73499241177391
2020-08-01,31.565509560490327
2020-09-01,22.37859359966929
2020-10-01,9.745280489711721
2020-11-01,0.011025633212620546
2020-12-01,0.01830519809304694
2021-01-01,0.010908182025444366
2021-02-01,0.06414655688083054
2021-03-01,1.3370137587840583
2021-04-01,7.714263183491162
2021-05-01,18.28633569398232
2021-06-01,39.65932483414293
2021-07-01,33.89122811755945
2021-08-01,24.514965236687647
2021-09-01,10.084140307268074
2021-10-01,0.6529275352648043
2021-11-01,0.09702804928557214
2021-12-01,0.033114393636289804
2022-01-01,0.1465898877249847
2022-02-01,0.5638369554316525
2022-03-01,3.2305934884657046
2022-04-01,4.454457127079035
2022-05-01,12.351140512634748
2022-06-01,21.692457326957253
2022-07-01,38.98216823541105
2022-08-01,24.45227153408501
2022-09-01,15.325206794196976
2022-10-01,6.9175391986892585
2022-11-01,0.010750812098028154
2022-12-01,0.0002724933417499343
2023-01-01,0.0026193148550516733
2023-02-01,0.020395784874734934
2023-03-01,0.0566712701858987
2023-04-01,1.470053104966601
2023-05-01,10.972009272269883
2023-06-01,28.997303909912517
2023-07-01,60.910382541159066
2023-08-01,23.34102214492251
2023-09-01,19.499961296179805
2023-10-01,6.31758604317736
2023-11-01,0.16124161770448334
2023-12-01,0.17645160784269773
2024-01-01,0.12791720386476638
2024-02-01,0.9576485924727304
2024-03-01,4.775620828690665
2024-04-01,18.072080328823272
2024-05-01,33.8750722150013
2024-06-01,55.03142849746285
2024-07-01,54.82447825172625
2024-08-01,34.33297488084245
2024-09-01,12.43663470812976
2024-10-01,4.5089723307265634
