datetime,NIWR
2015-01-01,0.07036383443379472
2015-02-01,0.12553257352443042
2015-03-01,1.312634140216185
2015-04-01,2.717125222406143
2015-05-01,3.9480011192430733
2015-06-01,4.51810884855125
2015-07-01,2.64791213126223
2015-08-01,2.3532480322888456
2015-09-01,1.3003385834851569
2015-10-01,0.10735958493539237
2015-11-01,-0.3041182140529745
2015-12-01,-1.1209141869736503
2016-01-01,-0.2204156005689322
2016-02-01,0.3283838822828819
2016-03-01,0.6989133985660346
2016-04-01,3.2379940536543206
2016-05-01,4.053169555210436
2016-06-01,4.299643155352699
2016-07-01,2.2518861004034196
2016-08-01,2.238516804658264
2016-09-01,1.1333262408309885
2016-10-01,-1.2035095040540742
2016-11-01,0.13070846978558084
2016-12-01,-0.5011440420139115
2017-01-01,-0.27390240169833435
2017-02-01,-0.010872242408338357
2017-03-01,0.23223525027924324
2017-04-01,0.9468353162516953
2017-05-01,3.4432394982270416
2017-06-01,4.797371922032907
2017-07-01,4.141218903986972
2017-08-01,2.3299054632459266
2017-09-01,1.0382789634330167
2017-10-01,0.15262958280501132
2017-11-01,-0.8957340190455346
2017-12-01,-0.08459133426717066
2018-01-01,-0.20046332466851471
2018-02-01,0.3576663660749633
2018-03-01,0.4911300868016279
2018-04-01,1.544234068461231
2018-05-01,4.5019246752388105
2018-06-01,4.715807171528746
2018-07-01,3.360844103478537
2018-08-01,2.259541466805746
2018-09-01,1.2540214146951807
2018-10-01,-0.019877969519424783
2018-11-01,-0.3771934491873097
2018-12-01,-0.5831869458585933
2019-01-01,-0.0381777469945662
2019-02-01,-0.5342509113968185
2019-03-01,0.7209633997553319
2019-04-01,0.9925352923268684
2019-05-01,3.475916876948771
2019-06-01,5.402253949179818
2019-07-01,3.6662759137317344
2019-08-01,1.7807339960460584
2019-09-01,0.4623733910811374
2019-10-01,0.34635649797549484
2019-11-01,-0.183745979395595
2019-12-01,-0.7612326800889662
2020-01-01,-0.24383709038040702
2020-02-01,0.7010009742152766
2020-03-01,0.687557032692894
2020-04-01,2.745632425185943
2020-05-01,3.178641343309278
2020-06-01,4.393280873581241
2020-07-01,3.363215277666039
2020-08-01,2.201022039224675
2020-09-01,1.3820751925479284
2020-10-01,0.31202920563593517
2020-11-01,-1.0366405209758034
2020-12-01,-0.3128570850385179
2021-01-01,-0.11290257431293493
2021-02-01,0.17892765060679103
2021-03-01,0.9708105330128215
2021-04-01,2.7090508513360505
2021-05-01,4.177924214990577
2021-06-01,5.778453055780365
2021-07-01,3.2873955590415322
2021-08-01,2.195794390207831
2021-09-01,0.8894323339208899
2021-10-01,0.2107910412701903
2021-11-01,-0.24578027724083193
2021-12-01,-0.6136068907781251
2022-01-01,0.12124895210765049
2022-02-01,0.18921202323611333
2022-03-01,0.25398480695783965
2022-04-01,0.23906017577542257
2022-05-01,1.3019693904837626
2022-06-01,2.8927282749771623
2022-07-01,5.352957778926173
2022-08-01,4.7231070461630615
2022-09-01,2.545060101259307
2022-10-01,0.6598552396731091
2022-11-01,-0.44708060332597144
2022-12-01,-0.8701244089370601
2023-01-01,0.113209768535726
2023-02-01,0.20798306237786263
2023-03-01,0.12149197461465436
2023-04-01,0.9922252071176617
2023-05-01,3.7865312129937725
2023-06-01,5.442399649794845
2023-07-01,4.414353490666101
2023-08-01,2.1142332786352958
2023-09-01,0.622652574938672
2023-10-01,0.24961274155420268
2023-11-01,-0.4616203642889959
2023-12-01,-0.7539909985801917
