datetime,ETDa
2013-01-01,0.7088811864884129
2013-02-01,0.8339258226602421
2013-03-01,1.49590440097536
2013-04-01,2.021198280641235
2013-05-01,1.5359802810839627
2013-06-01,2.119362742796572
2013-07-01,0.2993262910111984
2013-08-01,0.5977153616176604
2013-09-01,1.3731888352574868
2013-10-01,1.0164672762967297
2013-11-01,0.8304091159877576
2013-12-01,0.4330829751147286
2014-01-01,0.7370756313466384
2014-02-01,0.9563380108835895
2014-03-01,2.089996129928176
2014-04-01,2.677712536822535
2014-05-01,4.186573299328249
2014-06-01,5.514240854311998
2014-07-01,6.642524839371908
2014-08-01,2.493886493090978
2014-09-01,0.974039431041922
2014-10-01,0.9441330411830104
2014-11-01,0.8653656675743249
2014-12-01,0.9875333433885596
2015-01-01,0.8013920331523781
2015-02-01,1.5123260676274641
2015-03-01,1.9359631431544129
2015-04-01,3.117852862789286
2015-05-01,5.12077136995888
2015-06-01,5.596747096856083
2015-07-01,4.24980941605707
2015-08-01,2.529006795228743
2015-09-01,2.0158739979839027
2015-10-01,0.8584601377745728
2015-11-01,1.0357456312707518
2015-12-01,0.8375941242906291
2016-01-01,0.8893784291561818
2016-02-01,1.4063634556479094
2016-03-01,2.1366980924980092
2016-04-01,3.4229102047189297
2016-05-01,5.194658699612462
2016-06-01,5.395774429642321
2016-07-01,5.265345494396828
2016-08-01,3.386274432107644
2016-09-01,2.229653519613271
2016-10-01,1.6055744175993623
2016-11-01,1.2051560604162446
2016-12-01,0.4208980010778366
2017-01-01,0.3971519401602942
2017-02-01,1.248278594611189
2017-03-01,2.293456058583597
2017-04-01,3.3057296368748035
2017-05-01,4.981393852378678
2017-06-01,5.746136807120635
2017-07-01,6.149116975114601
2017-08-01,3.166863164317105
2017-09-01,2.20986164239652
2017-10-01,1.5918907036990362
2017-11-01,1.244783796736128
2017-12-01,0.501629958007422
2018-01-01,1.0767891544535195
2018-02-01,0.9594107689770002
2018-03-01,1.751874080716642
2018-04-01,2.756504239460287
2018-05-01,4.537507868616872
2018-06-01,5.3864663537654796
2018-07-01,6.75528583094321
2018-08-01,4.006039779776441
2018-09-01,2.000132844680098
2018-10-01,1.298019250768445
2018-11-01,0.8721772573864426
2018-12-01,0.6880961128869335
2019-01-01,0.8308324465034875
2019-02-01,0.6059825503784397
2019-03-01,1.2499228429406621
2019-04-01,2.606827777516665
2019-05-01,4.30862190484899
2019-06-01,6.173975468852719
2019-07-01,6.795694161024063
2019-08-01,4.612929634848807
2019-09-01,2.1394662783837495
2019-10-01,0.9312815726846713
2019-11-01,0.3442265889186962
2019-12-01,0.7683037509531222
2020-01-01,0.8939692760162974
2020-02-01,1.0676749559329795
2020-03-01,0.8846549075535617
2020-04-01,2.238168209934078
2020-05-01,4.519143234297748
2020-06-01,5.4479413229078935
2020-07-01,7.475414497619484
2020-08-01,4.949621459037723
2020-09-01,2.512741442533419
2020-10-01,1.5433809316700238
2020-11-01,0.8094928055804798
2020-12-01,0.634597320520967
