datetime,AVG_TMP
2015-10-17,60.47
2015-10-18,62.57
2015-10-19,59.39
2015-10-20,56.06
2015-10-21,55.66
2015-10-22,54.26
2015-10-23,48.9
2015-10-24,56.91
2015-10-25,55.06
2015-10-26,56.24
2015-10-27,48.3
2015-10-28,57.89
2015-10-29,59.0
2015-10-30,57.51
2015-10-31,60.63
2015-11-01,55.2
2015-11-02,50.16
2015-11-03,48.18
2015-11-04,43.03
2015-11-05,47.44
2015-11-06,49.94
2015-11-07,45.58
2015-11-08,46.43
2015-11-09,44.44
2015-11-10,42.67
2015-11-11,47.98
2015-11-12,44.58
2015-11-13,53.89
2015-11-14,56.44
2015-11-15,45.72
2015-11-16,41.11
2015-11-17,52.28
2015-11-18,44.64
2015-11-19,48.6
2015-11-20,43.48
2015-11-21,41.65
2015-11-22,36.84
2015-11-23,36.01
2015-11-24,40.99
2015-11-25,39.3
2015-11-26,37.08
2015-11-27,36.8
2015-11-28,34.85
2015-11-29,31.49
2015-11-30,27.49
2015-12-01,37.3
2015-12-02,40.71
2015-12-03,49.78
2015-12-04,45.44
2015-12-05,46.09
2015-12-06,50.54
2015-12-07,54.8
2015-12-08,59.33
2015-12-09,53.1
2015-12-10,47.56
2015-12-11,46.57
2015-12-12,48.1
2015-12-13,43.5
2015-12-14,38.74
2015-12-15,36.91
2015-12-16,42.45
2015-12-17,48.09
2015-12-18,47.66
2015-12-19,44.23
2015-12-20,44.67
2015-12-21,47.5
2015-12-22,42.78
2015-12-23,39.44
2015-12-24,38.83
2015-12-25,38.17
2015-12-26,33.57
2015-12-27,37.56
2015-12-28,40.68
2015-12-29,38.98
2015-12-30,35.72
2015-12-31,36.36
2016-01-01,34.72
2016-01-02,31.06
2016-01-03,27.8
2016-01-04,32.12
2016-01-05,35.83
2016-01-06,37.47
2016-01-07,37.88
2016-01-08,37.83
2016-01-09,42.32
2016-01-10,37.9
2016-01-11,37.2
2016-01-12,44.39
2016-01-13,45.82
2016-01-14,41.74
2016-01-15,43.96
2016-01-16,45.9
2016-01-17,44.16
2016-01-18,44.26
2016-01-19,45.69
2016-01-20,41.19
2016-01-21,50.0
2016-01-22,53.23
2016-01-23,48.6
2016-01-24,43.71
2016-01-25,47.98
2016-01-26,51.78
2016-01-27,54.59
2016-01-28,51.6
2016-01-29,46.6
2016-01-30,40.3
2016-01-31,36.96
2016-02-01,39.83
2016-02-02,42.48
2016-02-03,43.56
2016-02-04,46.93
2016-02-05,46.9
2016-02-06,43.67
2016-02-07,47.32
2016-02-08,47.72
2016-02-09,46.03
2016-02-10,49.15
2016-02-11,52.3
2016-02-12,48.16
2016-02-13,43.1
2016-02-14,52.28
2016-02-15,53.41
2016-02-16,51.25
2016-02-17,53.5
2016-02-18,46.57
2016-02-19,44.06
2016-02-20,42.55
2016-02-21,42.58
2016-02-22,45.22
2016-02-23,47.04
2016-02-24,49.45
2016-02-25,47.95
2016-02-26,45.8
2016-02-27,52.52
2016-02-28,46.84
2016-02-29,45.64
2016-03-01,50.86
2016-03-02,46.37
2016-03-03,52.6
2016-03-04,47.09
2016-03-05,54.84
2016-03-06,47.8
2016-03-07,45.51
2016-03-08,40.74
2016-03-09,50.34
2016-03-10,47.67
2016-03-11,43.44
2016-03-12,44.8
2016-03-13,47.92
2016-03-14,45.48
2016-03-15,45.1
2016-03-16,45.58
2016-03-17,48.46
2016-03-18,52.7
2016-03-19,55.06
2016-03-20,54.28
2016-03-21,47.62
2016-03-22,48.34
2016-03-23,47.13
2016-03-24,48.52
2016-03-25,46.38
2016-03-26,46.5
2016-03-27,47.2
2016-03-28,46.48
