datetime,IRR_CU_VOLUMEadj
2018-01-01,0.08158991834216407
2018-02-01,0.18675525796767858
2018-03-01,0.5020891871777283
2018-04-01,3.8551228094639205
2018-05-01,12.675151970175186
2018-06-01,24.94485080529609
2018-07-01,29.18818059520249
2018-08-01,22.023087569570592
2018-09-01,12.469974383655368
2018-10-01,2.8473082900293036
2018-11-01,0.2629737559523961
2018-12-01,0.014418801950270533
2019-01-01,0.05215444643023343
2019-02-01,0.05157628339486336
2019-03-01,0.2904271202515251
2019-04-01,2.2340257761622127
2019-05-01,6.520276011229544
2019-06-01,24.933982784493704
2019-07-01,29.59640919683292
2019-08-01,19.985239247146804
2019-09-01,4.199617077111724
2019-10-01,4.341403471854907
2019-11-01,0.808938319496543
2019-12-01,0.011636830615770526
2020-01-01,0.021008102205538785
2020-02-01,0.2254956631604815
2020-03-01,0.5759739345971632
2020-04-01,5.476312562972912
2020-05-01,13.560201675070278
2020-06-01,23.37856051253638
2020-07-01,27.059778093143155
2020-08-01,19.474529517687817
2020-09-01,13.321852997428167
2020-10-01,6.048928599983601
2020-11-01,0.014902328973498049
2020-12-01,0.011505946725558278
2021-01-01,0.021914774478912737
2021-02-01,0.09977617835238037
2021-03-01,0.5230886273272338
2021-04-01,4.180958902570842
2021-05-01,13.877660225537658
2021-06-01,21.070759376084553
2021-07-01,20.773396979389652
2021-08-01,15.296974431510352
2021-09-01,4.892124239016469
2021-10-01,1.0065527092900528
2021-11-01,0.08034730523361464
2021-12-01,0.02049627457406722
2022-01-01,0.07450906076920338
2022-02-01,0.3644158781930999
2022-03-01,1.8128845252699082
2022-04-01,1.7964547530440667
2022-05-01,9.69430932488777
2022-06-01,18.17341052462675
2022-07-01,26.238356866056677
2022-08-01,15.039719070712783
2022-09-01,9.136797427034525
2022-10-01,5.617446188023722
2022-11-01,0.002978787005846345
2022-12-01,0.0012992546966187006
2023-01-01,0.006305719339837846
2023-02-01,0.010738358103270616
2023-03-01,0.04509693310038055
2023-04-01,1.2405843966777206
2023-05-01,6.709680756107409
2023-06-01,16.919191549776095
2023-07-01,30.70244380322345
2023-08-01,16.392333604594025
2023-09-01,8.265702120390046
2023-10-01,5.337619197861446
2023-11-01,0.07408857070017091
2023-12-01,0.06230143987819016
2024-01-01,0.11858244939467133
2024-02-01,0.4233125955904817
2024-03-01,0.6453014306268622
2024-04-01,4.211365827185173
2024-05-01,17.435500265503627
2024-06-01,28.397139222770743
2024-07-01,29.82968932094559
2024-08-01,17.545387563755682
2024-09-01,10.571898625347934
2024-10-01,2.5515421199259127
