layer,OPENET_ID,ACRES_FTR_GEOM,GRIDMET_ID,HUC8,HUC8_name,HUC12,HUC12_name,IRR_EFF,ITYPE,OWRD,Region,srctype,year,month,metric,value
per_WETLAND,ORx_158758,13.95965246,573879,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.0
per_WETLAND,ORx_158759,121.86885,573879,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.8117431862280599
per_WETLAND,ORx_158760,126.6734931,573878,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.4419192680472807
per_WETLAND,ORx_158761,71.74808039,575264,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,3.0,1985,,per_WETLAND,1.4886119814996133
per_WETLAND,ORx_158762,113.0813753,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.3795298269450977
per_WETLAND,ORx_158763,138.0982664,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,1.8387491426092328
per_WETLAND,ORx_158764,17.79437253,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,3.1395993711841785
per_WETLAND,ORx_158765,209.5081995,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.0
per_WETLAND,ORx_158766,207.5254237,573879,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,1.0,1985,,per_WETLAND,8.684559028770598
per_WETLAND,ORx_158767,133.5447748,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.170578612837602
per_WETLAND,ORx_158768,142.3016643,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.565385476086072
per_WETLAND,ORx_158769,82.63623679,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,1.239864732498396
per_WETLAND,ORx_158770,99.64605054,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,0.0,1985,,per_WETLAND,27.48505508459214
per_WETLAND,ORx_158771,108.6807317,573879,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,1.0,1985,,per_WETLAND,7.315784112649329
per_WETLAND,ORx_158772,118.4815919,573879,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,1.0,1985,,per_WETLAND,31.547625203943685
per_WETLAND,ORx_158773,312.8008896,573879,18010204,Lost,180102040802,Grizzly Butte,0.5,3.0,14,18.0,1.0,1985,,per_WETLAND,14.368140261939342
per_WETLAND,ORx_158774,20.9040928,575265,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,4.55530825033426
per_WETLAND,ORx_158775,20.24131945,575265,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.8104094762944266
per_WETLAND,ORx_158776,23.48249837,575265,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.1590403936897977
per_WETLAND,ORx_158777,28.25755357,575265,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,0.0
per_WETLAND,ORx_158778,186.6550035,575265,18010204,Lost,180102040804,Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,18.632053074827542
per_WETLAND,ORx_158779,11.27662496,575266,18010204,Lost,180102040804,Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,1.590534252394508
per_WETLAND,ORx_158780,41.20803051,575264,18010204,Lost,180102040801,Whiteline Reservoir,0.85,1.0,14,18.0,3.0,1985,,per_WETLAND,3.2943983433929014
per_WETLAND,ORx_158781,74.5559106,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.75,2.0,14,18.0,1.0,1985,,per_WETLAND,1.4711583081313226
per_WETLAND,ORx_158782,6.572143003,575264,18010204,Lost,180102040801,Whiteline Reservoir,0.75,2.0,14,18.0,1.0,1985,,per_WETLAND,92.6750708058467
per_WETLAND,ORx_158783,13.93583562,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,1985,,per_WETLAND,8.85648156837019
