OPENET_ID,ACRES_FTR_GEOM,GRIDMET_ID,HUC8,HUC8_name,HUC12,HUC12_name,IRR_EFF,ITYPE,OWRD,Region,srctype,per_IRRIGATED_85,per_IRRIGATED_86,per_IRRIGATED_87,per_IRRIGATED_88,per_IRRIGATED_89,per_IRRIGATED_90,per_IRRIGATED_91,per_IRRIGATED_92,per_IRRIGATED_93,per_IRRIGATED_94,per_IRRIGATED_95,per_IRRIGATED_96,per_IRRIGATED_97,per_IRRIGATED_98,per_IRRIGATED_99,per_IRRIGATED_00,per_IRRIGATED_01,per_IRRIGATED_02,per_IRRIGATED_03,per_IRRIGATED_04,per_IRRIGATED_05,per_IRRIGATED_06,per_IRRIGATED_07,per_IRRIGATED_08,per_IRRIGATED_09,per_IRRIGATED_10,per_IRRIGATED_11,per_IRRIGATED_12,per_IRRIGATED_13,per_IRRIGATED_14,per_IRRIGATED_15,per_IRRIGATED_16,per_IRRIGATED_17,per_IRRIGATED_18,per_IRRIGATED_19,per_IRRIGATED_20,per_IRRIGATED_21,per_IRRIGATED_22,per_IRRIGATED_23,per_IRRIGATED_24
ORx_158721,41.60801629,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,78.80864888,98.76126148671636,2.488251398607856,13.983749995906326,98.59868127709976,98.76126148671636,98.1155715716106,1.1458102857962489,96.09177418512864,92.6930123816556,94.98620850686312,96.56560567666534,95.7759170486671,97.11529545592734,96.3317929476706,93.96269549124204,93.17300686324378,98.59868127709976,96.72663726166972,93.96269549124204,96.72663726166972,93.17300686324378,95.54210431967236,95.14725834015492,9.01479912110291,95.54210431967236,93.17300686324378,93.17300686324378,86.44350949804571,49.25668224171076,92.6868323206806,91.71439027203895,91.89711546313936,98.7612614820318,93.8852801823403,96.08404647,99.5385673,98.56305683620876,99.27377869146936,100.0
ORx_158722,76.99142995,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,99.78168691,99.78168691158209,99.77834097645557,98.4458412311285,99.78168691158209,98.80050444795364,98.68172568453993,98.01590744030962,99.78168691158209,0.3780703655043624,99.38689028381404,98.7152167791385,99.78168691158209,100.0,99.78168691158209,99.78419626788958,99.78419626788958,100.0,99.78168691158209,98.59393188815744,99.78168691158209,99.78168691158209,99.78168691158209,99.78168691158209,99.78168691158209,99.78168691158209,99.78168691158209,99.78168691158209,99.14680003896883,95.80504623402054,99.53409091940595,98.2903032573127,98.89839545022316,100.0,99.7816869166652,99.78168691,99.78168691,97.58596557016163,99.45045577928474,98.9544281490754
ORx_158723,26.80088113,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,100.0,100.0,100.0,100.0,100.0,97.5507464106134,100.0,95.39952738947296,96.93783147237237,91.044235305281,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5507464106134,100.0,100.0,98.77657628709552,100.0,100.0,100.0,99.38708506175897,87.71527480741896,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.12028792007531,99.5817668673162,100.0
ORx_158724,71.62695454,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,99.34185514,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,98.91535396038708,99.34185514278596,99.17934052879428,99.34185514278596,99.34185514278596,99.34185514278596,99.45768290776324,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.47205024057088,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,99.34185514278596,97.45094250057434,97.7876665283866,99.17934052879428,99.4253633925298,99.17934053031476,99.47205025262028,99.58787800985878,99.69472508,99.69472508,97.14479237595692,99.64535043648338,98.89560856136885
ORx_158725,46.01655882,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,100.0,99.68341390432408,99.82209542411132,100.0,100.0,100.0,100.0,99.85851623642336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.10767245951642,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.46488394181388,100.0,99.99719835313562
ORx_158726,43.18241548,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,97.71801197,100.0,98.50701197382932,99.78969204488118,99.8568116050255,99.47647705817631,100.0,99.03053010200207,100.0,99.93288043985572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.41297284857721,82.22134942441902,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.77219956506585,96.40251641027945,87.3834337561959
ORx_158727,61.84205327,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,45.7307369,39.110996603706624,59.05377438376416,95.41786420086144,93.99874979104032,89.98813257633996,89.73622076813376,4.515587692100772,3.1963781264812354,94.01122935130896,94.40792358697126,94.84001174731844,96.00091379625935,96.26641048427123,94.9389158428598,96.08837303107993,94.13097643756254,95.82287746320326,94.40792358697126,94.40792358697126,94.40792358697126,94.13097643756254,94.40792358697126,94.40792358697126,94.40792358697126,94.40792358697126,94.40792358697126,94.40792358697126,92.48903879234452,78.56432670917964,94.22988613377994,94.4079235834778,84.31904943440038,94.4079235834778,94.4079235834778,94.40792359,95.73541823,75.00362412886365,79.48479194103102,90.5638935067322
ORx_158728,75.84016287,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,99.62464032,98.108786547025,97.54066453105207,97.60943424410632,99.008960328391,12.994286332354788,99.32401088685523,99.10150593007772,99.6849367314364,97.8268401932232,99.93290970855196,99.93290970855196,99.93290970855196,99.93290970855196,99.6849367314364,99.6849367314364,99.658610379247,99.658610379247,99.62464031941714,99.51933624319568,99.62464031941714,99.62464031941714,99.62464031941714,99.62464031941714,99.62464031941714,99.62464031941714,99.62464031941714,99.62464031941714,91.91686627162792,58.95483830046775,99.03867680996974,99.35883616089382,99.25353208219263,99.44545385603912,99.65861038347718,99.65861038,99.91932226,81.25234893769817,85.7532360991527,81.11991242185583
ORx_158729,76.11786413,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,100.0,95.72617575348384,98.68176563516067,99.69539210657273,100.0,93.16663224305526,98.17319191091708,83.21211401798311,99.33326823386508,95.71942152248548,2.1457488058932985,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.56848396547215,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.855710575507,84.73997291034215,100.0,96.81437029547747,94.72787990105532,100.0,100.0,100.0,100.0,85.98909794136213,90.81880250113343,92.604128659092
ORx_158730,62.03832295,572494,18010204,Lost,180102040804,Swan Lake,0.65,4.0,14,18.0,1.0,99.5868766,99.02429191834528,54.92903598831796,99.79758637235744,99.79758637235744,93.10348895075474,99.59517530646971,0.0176457776306338,98.4959622395112,99.39276765625524,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,99.79758637235744,96.3566116522153,91.4594523323608,99.79758637235744,90.10067897962378,91.06711652902962,99.79758638001292,99.79758638001292,99.79758637,99.79758637,88.68589851710935,90.55326998276487,89.43954627481978
