OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158919,6.12977698416347,6.123210833,Lost,18010204,572494,Swan Lake,180102040804,14,18.0,4.0,1.0,0.65
ORx_158920,71.06746409051789,70.96855137,Lost,18010204,572494,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158928,0.748379860553359,0.74737677,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,2.0,0.0,0.75
ORx_158811,125.47269662697265,125.2817422,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158809,85.85909949338495,85.72630861,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158810,260.0383815297186,259.6357085,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
ORx_158808,7.204431326418788,7.191308442,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158805,103.02019752286391,102.8564349,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158806,48.16862417942867,48.0928239,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158807,11.586388982223392,11.56817348,Lost,18010204,572492,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158803,117.98102463534607,117.8125101,Lost,18010204,572492,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158804,114.44263010481872,114.256156,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158802,116.34620083165254,116.1253655,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
ORx_158801,83.57897025455742,83.43222059,Lost,18010204,572492,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
ORx_158800,395.99565351137176,395.1616747,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
ORx_158799,193.31314786550692,193.0260404,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
